date,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_month,dominant_month,near_basis,dom_basis,near_basis_rate,dom_basis_rate
2024-01-03,RM,2898.33,RM401,2765.0,RM403,2762.0,2401,2403,-133.32999999999993,-136.32999999999993,-0.046002353079186986,-0.047037431900439186
2024-01-03,SF,6654.29,SF401,6790.0,SF403,6830.0,2401,2403,135.71000000000004,175.71000000000004,0.02039436213330048,0.02640552185131706
2024-01-03,SM,6215.0,SM401,6440.0,SM403,6444.0,2401,2403,225.0,229.0,0.03620273531777962,0.03684633950120686
2024-01-03,CY,25275.0,CY401,20540.0,CY405,21430.0,2401,2405,-4735.0,-3845.0,-0.1873392680514342,-0.15212660731948568
2024-01-03,UR,2503.33,UR401,2296.0,UR405,2184.0,2401,2405,-207.32999999999993,-319.3299999999999,-0.08282168152021507,-0.12756208729971674
2024-01-03,SA,2860.0,SA401,2471.0,SA405,2074.0,2401,2405,-389.0,-786.0,-0.13601398601398607,-0.2748251748251749
2024-01-03,PF,7512.0,PF401,6966.0,PF403,7348.0,2401,2403,-546.0,-164.0,-0.07268370607028751,-0.02183173588924392
2024-01-03,PX,8600.0,PX405,8522.0,PX405,8522.0,2405,2405,-78.0,-78.0,-0.009069767441860499,-0.009069767441860499
2024-01-03,SH,798.0,SH405,2811.0,SH405,2811.0,2405,2405,2013.0,2013.0,2.5225563909774436,2.5225563909774436
2024-01-03,CU,68931.67,cu2401,68680.0,cu2402,68610.0,2401,2402,-251.66999999999825,-321.66999999999825,-0.003651006859401451,-0.004666505250779496
2024-01-03,AL,19543.33,al2401,19510.0,al2402,19340.0,2401,2402,-33.330000000001746,-203.33000000000175,-0.0017054411914450007,-0.010404061129807518
2024-01-03,ZN,21658.0,zn2401,21695.0,zn2402,21645.0,2401,2402,37.0,-13.0,0.001708375657955452,-0.0006002400960384291
2024-01-03,PB,15793.75,pb2401,15950.0,pb2402,15980.0,2401,2402,156.25,186.25,0.009893153937475363,0.011792639493470425
2024-01-03,NI,130050.0,ni2401,127690.0,ni2402,128090.0,2401,2402,-2360.0,-1960.0,-0.01814686658977316,-0.01507112648981157
2024-01-03,SN,210325.0,sn2401,210500.0,sn2402,210820.0,2401,2402,175.0,495.0,0.000832045643646806,0.002353500534886477
2024-01-03,AU,482.32,au2401,480.1,au2404,483.58,2401,2404,-2.2199999999999704,1.259999999999991,-0.004602753358765921,0.0026123735279481863
2024-01-03,AG,5973.0,ag2401,5971.0,ag2402,5976.0,2401,2402,-2.0,3.0,-0.00033484011384565804,0.0005022601707684871
2024-01-03,RB,3978.44,rb2401,4036.0,rb2405,4055.0,2401,2405,57.559999999999945,76.55999999999995,0.014467982425272252,0.019243723670584467
2024-01-03,WR,4175.2,wr2401,4250.0,wr2405,4220.0,2401,2405,74.80000000000018,44.80000000000018,0.01791530944625408,0.010730024908986335
2024-01-03,HC,4120.0,hc2401,4150.0,hc2405,4160.0,2401,2405,30.0,40.0,0.00728155339805836,0.009708737864077666
2024-01-03,FU,5476.0,fu2402,2937.0,fu2403,2953.0,2402,2403,-2539.0,-2523.0,-0.46365960555149743,-0.4607377647918188
2024-01-03,BU,3456.57,bu2401,3625.0,bu2403,3686.0,2401,2403,168.42999999999984,229.42999999999984,0.04872749575446167,0.0663750480968126
2024-01-03,RU,13130.0,ru2401,13925.0,ru2405,14115.0,2401,2405,795.0,985.0,0.06054836252856055,0.07501904036557505
2024-01-03,SP,5860.0,sp2401,5816.0,sp2405,5948.0,2401,2405,-44.0,88.0,-0.007508532423208147,0.015017064846416295
2024-01-03,SS,14012.5,ss2401,13890.0,ss2402,13980.0,2401,2402,-122.5,-32.5,-0.008742194469223863,-0.0023193577163247436
2024-01-03,BR,12470.0,br2401,12525.0,br2403,12545.0,2401,2403,55.0,75.0,0.004410585404971856,0.00601443464314344
2024-01-03,SI,15620.0,SI2401,14470.0,SI2402,14290.0,2401,2402,-1150.0,-1330.0,-0.07362355953905253,-0.08514724711907806
2024-01-03,LC,103000.0,LC2401,102600.0,LC2407,106600.0,2401,2407,-400.0,3600.0,-0.003883495145631022,0.03495145631067964
